timestamp_ns,sensor_id,source,client,user_agent,kind,payload,result,error
1777836351184859395,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351194790769,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351204812773,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351214782166,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351224845411,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351234816193,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
1777836351244812308,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351254838424,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351264843187,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity""]}",
1777836351274792413,kinova_arm,udp,127.0.0.1:57512,,command,"{""joint_1_vel"":40.0,""joint_2_vel"":0.0,""joint_3_vel"":0.0,""joint_4_vel"":0.0,""joint_5_vel"":0.0,""joint_6_vel"":0.0}","{""sent"":[""angular_velocity_dropped_rate_limit""]}",
